FID,APA Tier Type,GLHER Primary Ref,GLHER Resource ID,area_type,Description,Shape__Area,Shape__Length
17,Archaeological Priority Area - Tier I,77654,ab26381d-bf8b-4596-8bf1-d4db299335df, ,Summary and Definition  	A circular Iron Age hillfort known as Caesar’s Camp is located on Wimbledon Common.  The hillfort itself is a Scheduled Monument but the APA also covers its immediate surroundings.  The APA is classified Tier 1 because it inclu,273460.676170349,1995.44006946742
18,Archaeological Priority Area - Tier II,78073,d50766c3-9736-4052-84ef-da9cdcaa4868, ,"Summary and Definition    This Archaeological Priority Area comprises the historic settlements of Low Leyton, Leyton Street and Leyton Green which have their origins in the early medieval period. It also includes earlier occupation within the confines of",421600.298416138,7879.01779670626
19,Archaeological Priority Area - Tier II,78218,e4b42267-21df-4e3b-8b6a-9692cc962c6a, ,"Summary and Definition  This Archaeological Priority Area includes prehistoric evidence, Roman roads and associated activity, medieval settlement, Civil War defence lines and the 17th century expansion of London’s suburbs located within the south of th",1087931.82663727,6292.32523277486
20,Archaeological Priority Area - Tier II,76547,34f6a292-cb36-4d11-9938-fc64e819fbd1, ,"Summary and Definition    The APA of Ruckholts and Temple Mills comprises the former medieval manorial complex of Ruckholts with its post-medieval parkland and later farmstead and the associated Ruckholt Pond. The former manor, farm, parklands and ponds",355628.188621521,4036.94162471409
21,Archaeological Priority Area - Tier I,76669,40b8a1ff-b5d1-4876-ae24-b39692ff6fec, ,City of Westminster APA 1.2: Lundenwic and the Strand  Summary and Definition  The Lundenwic and the Strand APA covers the Anglo-Saxon international trading emporium of Lundenwic and the medieval and post medieval grand and religious houses between the C,1045289.05265808,4753.498787156
22,Archaeological Priority Area - Tier II,76194,0b150c9a-c8cb-484f-a22d-b0b00d6ef8a0, ,"Summary and Definition    The Archaeological Priority Area of Mountecho Farm comprises the former medieval moated enclosure, farm and house. The moated site is situated to the west of Chingford, and currently comprises residential buildings and gardens.",8300.46528625488,394.30808805016
23,Archaeological Priority Area,77080,6c628e56-4768-47f8-94a5-6b8b66ebf0af, ,The village of Corbetts Tey is first mentioned in 1461.  A tannery is documented for the period range 1573-1635.  Some of the 16th - 18th century buildings still remain in the village.,13374.9094390869,467.362111987104
24,Archaeological Priority Area - Tier I,76693,45519dc3-8dc6-463c-b952-428623e616e3, ,"Summary and Definition    This APA covers the Queen Elizabeth Hunting Lodge (Listed Grade II*, NHLE 1293481) and its immediate surroundings.  It was commissioned by Henry VIII in 15423 and used as a royal standing for hunting until the seventeenth centur",121442.872093201,1479.64155939275
25,Archaeological Priority Area - Tier II,77550,9f4a1e8d-e4b9-4187-8f00-3c5c51a74f37, ,Summary and Definition  The Chelsea Riverside APA covers the borough’s river frontage and extends in a strip inland from the river towards the King’s Road.  This APA is one of the most archaeologically significant areas of the Royal Borough containin,837840.455780029,6583.63014754638
26,Archaeological Priority Area - Tier II,77550,9f4a1e8d-e4b9-4187-8f00-3c5c51a74f37, ,Summary and Definition  The Chelsea Riverside APA covers the borough’s river frontage and extends in a strip inland from the river towards the King’s Road.  This APA is one of the most archaeologically significant areas of the Royal Borough containin,0.00513458251953125,3.90636113072423
27,Archaeological Priority Area - Tier II,209759,5537f6a3-59d7-43f7-889e-17b631814a40, ," p  strong Summary and Definition  /strong  /p 

 p Kneller Hall is the site of an extant 18th century mansion and estate and the site of an earlier 17th century house and grounds. The APA covers the site of the mansion and its grounds within which are t",253780.29524231,2823.4418350837
28,Archaeological Priority Area - Tier II,76173,094e860b-48f0-4179-baa6-787f0bedc9a7, ,"City of Westminster APA 2.7: Paddington  Summary and Definition  	The Paddington Archaeological Priority Area covers the historic settlement of Paddington Green.  It covers Paddington Green itself and areas to the west, east and north which formed part o",56531.9817047119,1381.90062366972
29,Archaeological Priority Area - Tier III,76753,4b3b6091-c42d-47e3-a886-02858e886de0, ,Summary and Definition  	The APA covers the remaining undeveloped and open areas of Wandsworth Common.  Originally the common covered a much larger area but several developments and enclosures during the 19th century greatly reduced its size.  The areas,888534.540748596,7993.91740113166
30,Archaeological Priority Area - Tier II,77281,81474c29-8814-4453-be49-a49cd028d758, ,"Summary and Definition  The Archaeological Priority Area covers an area centred on Dunspring Lane, its boundary is defined to the south by Fremantle Road, to the west by Berkeley Avenue and to north by Sheldon Avenue. The APA is classified as Tier 2 beca",52495.4249572754,934.157862061677
31,Archaeological Priority Area - Tier II,76402,23485024-cc4a-4e91-90f5-7584e3f17c25, ,"Summary and Definition    This Archaeological Priority Area comprises the complex of Pimp Hall and Friday Hill; this includes the site of the medieval manor house, farmyard, barn, dovecote and park of Pimp Hall and the site of the former moat and formal",131629.543113708,1587.08043782727
32,Archaeological Priority Area - Tier II,77469,95f19d7d-6233-411a-9a5b-82e0dbbcae47, ,Summary and definition  The  Archaeological  Priority  Area  covers  nine  post-medieval  burial  grounds  and  cemeteries within London Borough of Bromley. The APA has been classed as Tier 2 as  it contains 18th-and 19th-ce,23008.1982116699,695.952605763442
33,Archaeological Priority Area - Tier II,78206,e3cf7750-3422-42e4-8373-111cb9155238, ,Tower Hamlets APA 2.9: Whitechapel  Summary and Definition  	The Whitechapel APA runs along the Whitechapel Road corridor from its junction with Osborn Street near Aldgate as far as Whitechapel Tube station and the Mile End APA.   It is a Tier 2 APA for,152831.875686646,2322.2115234731
34,Archaeological Priority Area,77065,6b92fba5-74bb-4904-b9df-338ea5b30108, ,Medieval - Early Post Medieval moated site site.,7507.65993499756,347.470570959376
35,Archaeological Priority Area,77705,b0c060b5-2abc-4c18-a11e-d39ca50520f9, ,"Iron Age prehistoric earthwork, a short section of which was excavated at 120-124 King Street. May have protected a single farmstead, but may have been a more substantial settlement - a 'proto-town', or possibly have been a long linear territorial bounda",170737.015457153,1854.63785770097
36,Archaeological Priority Area - Tier I,77190,784e20ab-10af-4f63-b980-d710ce46c55a, ,"All of the City is considered to have archaeological potential, except where there is evidence that archaeological remains have been lost due to deep basement construction or other groundworks (3.12.18, City of London Local Plan January 2015).    For the",3151556.29944611,9656.09705575758
37,Archaeological Priority Area - Tier I,209611,ab5f0457-4d99-4111-8ad2-45c18e76796f, ," p  strong Summary and Definition /strong  /p 

 p  nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; The Kew Gardens APA is a Tier I APA. It is a Tier I APA because it covers an historic royal park that has been d",1456884.93958282,6754.0828392432
38,Archaeological Priority Area - Tier I,209611,ab5f0457-4d99-4111-8ad2-45c18e76796f, ," p  strong Summary and Definition /strong  /p 

 p  nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; nbsp; The Kew Gardens APA is a Tier I APA. It is a Tier I APA because it covers an historic royal park that has been d",0.0411453247070313,2.50301930021487
39,Archaeological Priority Area,78009,cf3ef354-5e1e-46a8-873e-7594c5d54172, ,"This road, probably first used in the 1st century AD, is still in use as the A2 and has clearly influenced development along its route.  The Roman road followed the southern limit of the local Thames gravel terrace and crossed the Ravensbourne via a ford",34392.6731109619,2490.14471295679
40,Archaeological Priority Area,78009,cf3ef354-5e1e-46a8-873e-7594c5d54172, ,"This road, probably first used in the 1st century AD, is still in use as the A2 and has clearly influenced development along its route.  The Roman road followed the southern limit of the local Thames gravel terrace and crossed the Ravensbourne via a ford",172485.953216553,5063.46560668689
41,Archaeological Priority Area - Tier I,77763,b65f80db-ec64-4fd5-ac18-3938f7c4ec2a, ,"Summary and Definition  The APA covers the area between Evelyn Road, Boxley Street, North Woolwich Road and Fort Street.  A Neolithic timber structure was uncovered here in 1994.  The APA is classified as Tier 1 due to the structure being an undesignated",14992.7756271362,555.663662922125
42,Archaeological Priority Area - Tier II,78136,db82a6bb-8c89-4d55-9443-06ec0a6a90ef, ,Summary and Definition  	The Hook Hill Archaeological Priority Area covers an area to the north-west of Sanderstead.  What is thought to be part of an Anglo-Saxon cemetery was found within the APA in 1884.  The APA is classified as Tier 2 because the Sax,149948.351203918,2316.96266462385
43,Archaeological Priority Area,77404,8f66c5dd-424f-414a-8bbc-3440a1320f02, ,Medieval - Early Post Medieval moated site.,39726.2900161743,852.958209298519
44,Archaeological Priority Area - Tier II,78071,d4dac2de-d2cd-44c7-81f1-be447a2f412d, ,"Summary and Definition  This Archaeological Priority Area covers the site of the former St Anthony’s Leper Hospital at Highgate bounded to the north-east by Highgate Hill, to the north-west by Magdala Avenue and to the south-east by MacDonald Road.  Th",15049.1402206421,512.880807348404
45,Archaeological Priority Area - Tier II,78034,d125e2e0-b6db-4d9c-9a79-1dd92958c34a, ," p Summary and Definition /p 

 p The Archaeological Priority Area covers the historic settlement of Dagenham as shown on the 1653 map of Dagenham. It is bounded by Siviter Way to the west, Church Lane to the south, Cadiz Street to the east and Salisbury",159541.088951111,2310.2695316343
46,Archaeological Priority Area,76916,5c525854-8034-4f82-b6c8-ce0e0ce4e1d0, ,Medieval - Early Post Medieval moated manor site.,14499.0782470703,502.94056845426
47,Archaeological Priority Area,77318,8547703e-790c-45b0-bf6a-32036350a61e, ,Medieval settlement of Hanwell with St Mary’s Church (13th Century); and Hanwell Bridge where there was a medieval water mill; and prehistoric finds north of the Broadway.,71972.3872833252,1248.65983603916
48,Archaeological Priority Area - Tier I,209790,e3024047-155c-4a4c-a2a3-3c5315c0592c, ," p  strong Summary and Definition /strong  /p 

 p This APA covers the historic core of Kingston, focussed on All Saints Church, the historic marketplace and the Clattern Bridge over the Hogsmill River. Therefore, this includes the church, its churchyard",39161.6335678101,1147.5203845857
49,Archaeological Priority Area - Tier II,76419,25e0c788-81af-480a-bf2f-4c0c9fcd335e, ,Summary and Definition  	The Archaeological Priority Area covers an area on either side of Pampisford Road between its junctions with Chancellor Gardens and Waddon Way/Haling Park Road.  Previous excavations have found evidence for flint extraction and f,314869.484260559,2682.265827703
50,Archaeological Priority Area - Tier I,76114,03939454-c290-4ef4-8883-8f84e4b0f6b1, ," p  strong Richmond APA 1.7: Barn Elms Riverside  /strong  /p 

 p  nbsp; /p 

 p  strong Summary and Definition  /strong  /p 

 p  nbsp; /p 

 p The Barn Elms Riverside Archaeological Priority Area is a Tier I APA. It is a Tier I APA because it covers a",270050.656219482,2209.21636304177
51,Archaeological Priority Area - Tier II,77324,85fb6bf0-0f96-4123-9072-5238e617f12f, ," p Summary and Definition /p 

 p The Archaeological Priority Area covers the projected route of the London to Colchester Roman road through Barking and Dagenham. The APA has been classified as Tier 2 as it is a corridor along a Roman road. /p 

 p Descr",259358.598648071,3299.47225827188
52,Archaeological Priority Area - Tier II,77767,b6ce421f-a45e-483e-98f5-1ab7617d58d1, ,Tower Hamlets APA 2.13: Shadwell  Summary and Definition  	The Shadwell APA covers the historic settlement of Shadwell as well as Shadwell Basin and the Thames foreshore.  It lies adjacent to Shadwell Roman settlement (APA 1.4) and is classified as Tier,468987.16835022,3129.27287375058
53,Archaeological Priority Area,78053,d3088fa9-27c4-4707-bf20-71fad6eb0db3, ," p A Norman church called St Mary the Virgin (c.1080 AD) is located here. Much of which dates back to the 14th century, but parts of the fabric appear Saxon/Norman in date. The church is located at the top of Church Hill. It has been suggested that Saxon",181989.440254211,1885.33442269613
54,Archaeological Priority Area,77027,67493d9d-ca80-492c-90a2-e4d548c72b4f, ," p This APA consists of two sections: /p 

 p A) Chase Lodge (western area): br / 
Good Hewe Farm was part of an estate belonging to Nicholls of Copthall (1570s) and was part of Hendon Manor. The land was sub-divided and Tithe Farm was established in 175",84852.0918502808,1903.79633681165
55,Archaeological Priority Area,77027,67493d9d-ca80-492c-90a2-e4d548c72b4f, ," p This APA consists of two sections: /p 

 p A) Chase Lodge (western area): br / 
Good Hewe Farm was part of an estate belonging to Nicholls of Copthall (1570s) and was part of Hendon Manor. The land was sub-divided and Tithe Farm was established in 175",342237.427207947,2876.23404474223
56,Archaeological Priority Area - Tier I,76760,4bd63058-8d11-466c-8266-63258c5e8cd1, ," p Summary and Definition /p 

 p The Barking Abbey Archaeological Priority Area covers the site of the abbey, its precinct and associated buildings. It was the first nunnery established in England and has royal associations. The abbey was in use from it",131071.14704895,1548.7602614892
57,Archaeological Priority Area - Tier II,209818,cbd450f2-235b-4537-ab71-776ff4ea9c4b, ," p  strong Summary and Definition /strong  /p 

 p This APA covers the Motspur Park Gasholders, a triangular plot of land on the boundary between Kingston upon Thames and Surrey. This area represents land within which the Motspur Park Gasholders are stil",32009.7744598389,898.211650905938
58,Archaeological Priority Area,76296,17a50bb6-2466-4138-960e-ed2d675d2867, ,"Twenty Palaeolithic handaxes were found in ‘Town Pits’, probably immediately to the east of the APA. Aside from this there is currently little evidence for prehistoric activity in the area.  The settlement of Great Hillingdon was mentioned in the Dom",209523.738731384,2116.55547116205
59,Archaeological Priority Area - Tier III,76905,5b263ed7-3077-4161-9a7a-0eb0f1af894e, ,"Summary and Definition    The Archaeological Priority Area of the Lea Valley largely covers the floodplain of the River Lea and its tributaries, and the interface with the dryland on the valley sides, stretching south from Chingford to Leyton along the w",97820.1095809937,1456.24805434052
60,Archaeological Priority Area - Tier III,76905,5b263ed7-3077-4161-9a7a-0eb0f1af894e, ,"Summary and Definition    The Archaeological Priority Area of the Lea Valley largely covers the floodplain of the River Lea and its tributaries, and the interface with the dryland on the valley sides, stretching south from Chingford to Leyton along the w",687992.374687195,3608.72721650554
61,Archaeological Priority Area - Tier III,76905,5b263ed7-3077-4161-9a7a-0eb0f1af894e, ,"Summary and Definition    The Archaeological Priority Area of the Lea Valley largely covers the floodplain of the River Lea and its tributaries, and the interface with the dryland on the valley sides, stretching south from Chingford to Leyton along the w",5928634.93717194,24661.6122772318
62,Archaeological Priority Area - Tier II,78000,cdfe47a5-2e89-4405-9e3a-038f984105c3, ,Summary and Definition  The Archaeological Priority Area covers a large part of the Fairlop Plain. The APA is classified as Tier 2 because it covers an area of identified prehistoric activity that includes probable Bronze Age barrows and a series of Iron,2950739.5879364,10679.9100473422
63,Archaeological Priority Area,77617,a607d1df-980e-4e03-8178-ac62fc636b01, ,"A succession of buildings from the late Iron Age and Roman period have been found, suggesting occupation until about AD400. Earliest structures include at least one roundhouse and a post-built aisled barn.",207082.607826233,2064.80724245451
64,Archaeological Priority Area - Tier II,76390,228e692b-7e9c-4804-8a25-e96461828402, ,Summary and definition  The Archaeological Priority Area contains an area of ancient woodland known as  Darrick Wood and the recreation grounds which surround it. The area has been  subject to little modern disturbance and,352364.267456055,4594.07329937999
65,Archaeological Priority Area - Tier I,77714,b1bc4f64-5855-4c1b-a18a-ebafad5928ff, ,Summary and Definition  	The APA covers the site of RAF Kenley which was an aerodrome between 1917 and 1978 and is still used by gliders.  It was active during the Second World War particularly during the Battle of Britain.  The majority of the airfield,789424.180648804,4029.04979049182
66,Archaeological Priority Area,78323,f080c1a8-4b2f-488b-aa2e-8dee8025541f, ,"Medieval village centre and manor house. Archaeological discoveries of prehistoric, Roman, Saxon, medieval and Post-medieval.",354401.020973206,2699.13811998222
67,Archaeological Priority Area,77125,7232541b-d7ba-409e-b45e-2c2447a8a45a, ,Archaeological priority area surrounding possible early settlement,165085.943817139,2927.91059619588
68,Archaeological Priority Area - Tier II,77260,7f3f3f50-a981-42f8-9485-f6672ac8a74f, ," p Summary and Definition /p 

 p  nbsp; nbsp;  nbsp;The APA covers an area surrounding the cross roads between Tooting High Street and Garratt Lane/Mitcham Road.  nbsp;This is the location of the historic settlement of Tooting, sometimes known as Lower",314521.023757935,2837.12046578118
69,Archaeological Priority Area,76755,4c6c8eff-fa1d-4eb7-959c-683cd9b11e39, ,"Sub-manor house from medieval times. Post-medieval manor house had saltpetre works, stoneware and tin-glaze pottery works, cask and dye works within the curtilage.",22245.172996521,602.783537932816
70,Archaeological Priority Area,77387,8cc3786d-12a6-4fe3-a92a-00f9dfc981ce, ,(in Hatch End and Pinner),1451.14723205566,161.179227251149
71,Archaeological Priority Area,77387,8cc3786d-12a6-4fe3-a92a-00f9dfc981ce, ,(in Hatch End and Pinner),10396.0882949829,958.992224543586
72,Archaeological Priority Area,77387,8cc3786d-12a6-4fe3-a92a-00f9dfc981ce, ,(in Hatch End and Pinner),1200.30926513672,213.811346850211
73,Archaeological Priority Area,77387,8cc3786d-12a6-4fe3-a92a-00f9dfc981ce, ,(in Hatch End and Pinner),41145.1772460938,1878.89505778463
74,Archaeological Priority Area,77387,8cc3786d-12a6-4fe3-a92a-00f9dfc981ce, ,(in Hatch End and Pinner),5122.48831176758,299.337329356032
75,Archaeological Priority Area,77387,8cc3786d-12a6-4fe3-a92a-00f9dfc981ce, ,(in Hatch End and Pinner),57926.5802993774,2284.29509323918
76,Archaeological Priority Area,77453,94a8bc6a-92fc-4d67-bf25-37a296dabd81, ,"Recommendation  Southern area needs to be extended to include, if not all of the southern avenue, at least the ‘monument/lake’ two thirds of the way along the avenue from the house., This archaeological area takes in the former area of Blackheath sou",212664.344177246,2348.2113785695
77,Archaeological Priority Area - Tier II,76443,28d6d1d8-60c4-47f8-aacd-6f9b12862804, ,"Summary and Definition  	The APA covers the predominantly open area between Putney Heath to the north, Tibbet’s Ride to the east, Kingston Road to the south and Roehampton Lane to the west.  It also covers an area to the north of Putney Heath where a n",798332.876792908,3857.81318849077
78,Archaeological Priority Area - Tier III,77595,a48515a4-9177-46da-b271-8e76a55731d5, ,Summary and Definition  The Archaeological Priority Area covers the northern and western parts of Fairlop Plain. The APA is classified as Tier 3 because it is deemed to have archaeological potential for evidence of prehistoric settlement to be identified,2114374.84236145,12585.8836599584
79,Archaeological Priority Area - Tier III,77595,a48515a4-9177-46da-b271-8e76a55731d5, ,Summary and Definition  The Archaeological Priority Area covers the northern and western parts of Fairlop Plain. The APA is classified as Tier 3 because it is deemed to have archaeological potential for evidence of prehistoric settlement to be identified,4905767.733284,12644.7781106502
80,Archaeological Priority Area,76750,4aac1818-2506-45cc-b8fc-57ec067b33aa, ,Throughout the borough the alluvium of the natural flood plain is potentially an important source of information on the prehistoric environment. Perivale Village – medieval settlement and moated site of Greenford Parva.,3171286.80934906,13173.6599644058
81,Archaeological Priority Area - Tier II,77455,94d281ad-1410-4bce-96f1-1ef0fd69b6ae, ,"Summary and Definition  	The Wandsworth Park APA covers the park itself, the Thames and adjacent land.  A wealth of archaeological finds have been made along this stretch of the river Thames, many of which date from the prehistoric period.  The remains o",221829.951293945,2119.65597734093
82,Archaeological Priority Area - Tier II,76551,3544e695-7835-4e68-b254-6c8f40615573, ,Summary and Definition The Archaeological Priority Area (APA) is based upon historic map evidence which shows a possibly prehistoric round barrow in this location13. The APA boundaries are selected based upon the extent of the potential burial mound and,49946.8869857788,919.984291618634
83,Archaeological Priority Area - Tier II,77264,7f875f7f-be0a-476c-b1e1-2fe2df8182b1, ,"Summary and Definition  	The APA covers the area bounded by Merton High Street to the north, Abbey Road to the east, High Path to the south and Pincott Road to the west.  The APA occupied by the High Path Estate but was formerly the site of Merton Place",45351.3920516968,838.675008440757
84,Archaeological Priority Area - Tier II,76400,23292050-0a9e-40bb-b4a8-c2d67f337676, ,Summary and Definition  	The Archaeological Priority Area covers the wooded area of Croham Hurst and the neighbouring Croham Hurst Golf Club.  The only area it does not include is the hill’s summit where a barrow and potential prehistoric settlement ar,823569.873916626,4561.88354251603
85,Archaeological Priority Area - Tier II,76400,23292050-0a9e-40bb-b4a8-c2d67f337676, ,Summary and Definition  	The Archaeological Priority Area covers the wooded area of Croham Hurst and the neighbouring Croham Hurst Golf Club.  The only area it does not include is the hill’s summit where a barrow and potential prehistoric settlement ar,0.176765441894531,11.6588173825936
86,Archaeological Priority Area - Tier II,76910,5bc84200-2b01-4f4b-8375-6eeb0a6be592, ," p Summary and Definition: /p 

 p The Archaeological Priority Area covers the route of the Roman road that ran in a north south direction through Newham between Manor Park and North Woolwich. It has been classified as Tier 2 because it is a corridor of",1472734.40628815,15233.7861461132
87,Archaeological Priority Area - Tier II,78019,cf92de2c-4e76-47bc-a838-75e7ff97c84a, ,"Summary and Definition  The Archaeological Priority Area follows the course of the River Cray southwards from  the borough boundary with Bexley and covers the historic cores of St Paul’s Cray, St  Mary Cray and Orpingto",3435454.48358154,17673.4058176097
88,Archaeological Priority Area - Tier II,77766,b6bf4df4-9e95-4258-b651-84e5c8d79095, ,Summary and Definition  The Archaeological Priority Area contains the site of the moated medieval manor  house known as Foxgrove. The APA is situated within the residential suburb of  Beckenham to the north-east of the hi,26197.2814559937,753.642226924552
89,Archaeological Priority Area - Tier II,77380,8bbd2292-452f-483d-811f-fe47f76f68c9, ,"Summary and Definition    The Archaeological Priority Area covers the Grade II* registered park and garden of  Crystal Palace Park, which is situated to the north-west of Penge and to the west of  Lower Sydenham. The pa",789646.922744751,3971.19131309391
90,Archaeological Priority Area - Tier III,77564,a06d709d-5f22-4636-a4a2-322cc7a16cf8, ,"Waltham Forest APA 3.2:  Epping Forest     Summary and Definition    The Archaeological Priority Area covers Hawkswood Stream, Pole Hill, Chingford Plain, Chingford Golf Club, Cuckoo Pits, The Warren, Bluehouse Grove, Hatch Grove, Hatch Forest, and Woodf",203724.389411926,2552.17171059853
91,Archaeological Priority Area - Tier III,77564,a06d709d-5f22-4636-a4a2-322cc7a16cf8, ,"Waltham Forest APA 3.2:  Epping Forest     Summary and Definition    The Archaeological Priority Area covers Hawkswood Stream, Pole Hill, Chingford Plain, Chingford Golf Club, Cuckoo Pits, The Warren, Bluehouse Grove, Hatch Grove, Hatch Forest, and Woodf",1999748.58917999,13360.0328163476
92,Archaeological Priority Area,78290,ecb185d1-32bc-42ad-a237-5f7a6e23b6fd, ,Medieval - Early Post Medieval moated manor site.,17958.1480102539,521.567203279082
93,Archaeological Priority Area - Tier II,76504,302ac3c7-21b2-45db-b48c-5aa86017e2f4, ,Summary and Definition  The Archaeological Priority Area covers a residential area in Cranbrook that is bounded to the west by Wanstead Park Road and to the east by the A123 Cranbrook Road. The APA is classified as Tier 2 because it covers the sites of t,627000.641090393,3358.98910300713
94,Archaeological Priority Area,77321,8599a92a-7439-46ef-9dcc-923f851b5e4c, ,There are no records in the area relating to activity in the prehistoric period. The earliest mention of Eastcote was in 1248 when it was called ‘Estcott’. It was mentioned again as ‘Estcote’ along with ‘Wescote’ (Ruislip) and ‘Norwode’ (,286548.109519958,4175.27115722346
95,Archaeological Priority Area - Tier II,78056,d3188518-a16c-482e-a4ba-d5ab9fe870e0, ,"Hackney APA 2.11 Shoreditch  Summary and Definition  This Archaeological Priority Area covers the mid-18th century London suburb of Shoreditch. 	The APA has been classified as Tier 2, because it is a historic settlement and also contains archaeological r",462916.121154785,4959.96930354955
96,Archaeological Priority Area - Tier I,76581,374a70ba-3f8c-4d77-8263-ba9a73125e25, ,Summary and Definition  The Archaeological Priority Area covers a multi-period settlement site.  Evidence of settlement dating to between the Bronze Age and post medieval periods has been identified.  Most notably a middle Iron Age hillfort has been iden,229327.450973511,1989.16806429966
97,Archaeological Priority Area,77101,6fb25c40-efec-42eb-90d4-a5f5a6b110c6, ,Recommendation  Part of the northern area could be removed as this is too low down for any Bronze Age evidence.  Equally part of the western area could be refined to follow Plum Lane as far as Brinklow Crescent and then to follow the inner line of the cr,295158.895065308,2487.03863550401
