scenario,workflow_yaml,agents_used,num_agents,num_steps,complexity,is_valid,error_message
"""Gather information on the latest trends in sustainable energy by retrieving articles from multiple sources, synthesize the key insights into a structured summary, and create a visual report to present at the upcoming conference.""","assets:
  latest_sustainable_energy_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract latest articles on sustainable energy trends from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet, publication_date]""
      - ""no_empty_values: [title, url]""

  synthesized_insights_summary:
    agent: AnswererAgent
    description: ""Synthesize key insights from gathered articles into a structured summary""
    type: table
    inputs: [latest_sustainable_energy_articles]
    checks:
      - ""row_count > 0""
      - ""columns: [insight, source, significance]""
      - ""no_empty_values: [insight, source]""

  insights_visual_report:
    agent: VisualizationAgent
    description: ""Create a visual report of the synthesized insights for presentation""
    type: image
    inputs: [synthesized_insights_summary]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [1920, 1080]""
      - ""format: png""","['DuckDuckGoSearchAgent', 'VisualizationAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Gather information on the latest trends in renewable energy from various online sources, compile the key insights into a structured summary, and create a visual infographic to present at our upcoming sustainability conference.""","assets:
  renewable_energy_trends:
    agent: DuckDuckGoSearchAgent
    description: ""Extract latest trends in renewable energy from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  summarized_energy_insights:
    agent: UrlRetrieverAgent
    description: ""Combine URL content into structured summaries of renewable energy trends""
    type: table
    inputs: [renewable_energy_trends]
    checks:
      - ""row_count >= 5""
      - ""columns: [summary, details, source_url]""
      - ""no_empty_values: [summary]""

  energy_trends_infographic:
    agent: VisualizationAgent
    description: ""Create visual infographic of summarized renewable energy insights""
    type: image
    inputs: [summarized_energy_insights]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 1920, height: 1080]""
      - ""format: png""","['DuckDuckGoSearchAgent', 'UrlRetrieverAgent', 'VisualizationAgent']",3,3,simple_chain,True,
"""Search for the latest news articles on renewable energy, extract relevant information from the top 5 articles, and compile a structured summary table for our upcoming presentation.""","assets:
  latest_news_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract latest news articles on renewable energy""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  relevant_information_summary:
    agent: UrlRetrieverAgent
    description: ""Compile structured summaries from the top 5 articles""
    type: table
    inputs: [latest_news_articles]
    checks:
      - ""row_count >= 5""
      - ""columns: [title, summary, source]""
      - ""no_empty_values: [title, summary]""","['DuckDuckGoSearchAgent', 'UrlRetrieverAgent']",2,2,simple_chain,True,
"""Retrieve customer feedback from our website database, validate the sentiments expressed in the feedback, and generate a summary table highlighting the main themes for our quarterly review.""","assets:
  customer_feedback_data:
    agent: SqlAgent
    description: ""Extract customer feedback from website database""
    type: table
    checks:
      - ""row_count > 0""
      - ""columns: [feedback_id, customer_id, sentiment, feedback_text]""
      - ""no_null_values: [feedback_id, customer_id, sentiment]""

  validated_sentiment_data:
    agent: ReviewerAgent
    description: ""Validate and clean sentiment data for accuracy""
    type: table
    inputs: [customer_feedback_data]
    checks:
      - ""row_count >= customer_feedback_data.row_count * 0.95""
      - ""valid_sentiment_values: [positive, negative, neutral]""

  feedback_summary_table:
    agent: AnswererAgent
    description: ""Generate summary table highlighting main themes from validated feedback""
    type: table
    inputs: [validated_sentiment_data]
    checks:
      - ""row_count > 0""
      - ""columns: [theme, count, percentage]""
      - ""no_null_values: [theme, count, percentage]""","['ReviewerAgent', 'SqlAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Please gather information on the latest smartphone releases from various online sources, validate the specifications and reviews, and compile a structured table summarizing the findings.""","assets:
  latest_smartphone_releases:
    agent: DuckDuckGoSearchAgent
    description: ""Extract information on the latest smartphone releases from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [model, release_date, specifications, reviews]""
      - ""no_empty_values: [model, release_date]""

  validated_smartphone_data:
    agent: ReviewerAgent
    description: ""Validate specifications and reviews of smartphones""
    type: table
    inputs: [latest_smartphone_releases]
    checks:
      - ""row_count >= latest_smartphone_releases.row_count * 0.95""
      - ""no_empty_values: [specifications, reviews]""
      - ""valid_specifications_format: true""

  smartphone_summary_table:
    agent: AnswererAgent
    description: ""Compile a structured table summarizing the findings of smartphone releases""
    type: table
    inputs: [validated_smartphone_data]
    checks:
      - ""row_count == validated_smartphone_data.row_count""
      - ""columns: [model, summarized_specifications, summarized_reviews]""
      - ""no_null_values: [model]""","['DuckDuckGoSearchAgent', 'ReviewerAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Gather user feedback from our website, analyze the responses to identify common themes, and generate a report that includes visual representations of the most mentioned issues.""","assets:
  user_feedback_data:
    agent: UserInputAgent
    description: ""Gather user feedback from the website""
    type: text
    checks:
      - ""no_empty_values: [feedback]""
      - ""feedback_length >= 5""

  analyzed_feedback_data:
    agent: NumericalSequencesAgent
    description: ""Analyze user feedback to identify common themes""
    type: table
    inputs: [user_feedback_data]
    checks:
      - ""row_count > 0""
      - ""columns: [theme, mention_count]""
      - ""mention_count >= 0""

  feedback_report_chart:
    agent: VisualizationAgent
    description: ""Generate visual representation of the most mentioned issues""
    type: image
    inputs: [analyzed_feedback_data]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 800, height: 600]""","['NumericalSequencesAgent', 'VisualizationAgent', 'UserInputAgent']",3,3,simple_chain,True,
"""Retrieve the latest articles on climate change from online sources, extract the relevant information into a structured table, and generate a summary visualization of the key themes discussed.""","assets:
  climate_change_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Retrieve the latest articles on climate change from online sources""
    type: table
    checks:
      - ""row_count > 0""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  structured_article_data:
    agent: NumericalSequencesAgent
    description: ""Transform extracted articles into a structured table of key themes""
    type: table
    inputs: [climate_change_articles]
    checks:
      - ""row_count >= climate_change_articles.row_count * 0.95""
      - ""columns: [theme, article_count, relevance_score]""
      - ""no_null_values: [theme, article_count]""

  theme_visualization_chart:
    agent: VisualizationAgent
    description: ""Generate a summary visualization of key themes discussed in articles""
    type: image
    inputs: [structured_article_data]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [800, 600]""
      - ""format: png""","['DuckDuckGoSearchAgent', 'VisualizationAgent', 'NumericalSequencesAgent']",3,3,simple_chain,True,
"""Gather user feedback from our website, analyze the sentiment from the collected comments, and compile a concise report that highlights key themes and provides visualizations of the results.""","assets:
  user_feedback_comments:
    agent: UserInputAgent
    description: ""Gather user feedback comments from the website""
    type: text
    checks:
      - ""no_empty_values: [comments]""

  sentiment_analysis_results:
    agent: MleAgent
    description: ""Analyze user feedback comments to extract sentiment patterns""
    type: model
    inputs: [user_feedback_comments]
    checks:
      - ""accuracy > 0.75""
      - ""required_features: [comment_length, sentiment_score]""

  feedback_summary_table:
    agent: AnswererAgent
    description: ""Compile a concise report highlighting key themes from feedback""
    type: table
    inputs: [sentiment_analysis_results]
    checks:
      - ""row_count > 0""
      - ""columns: [theme, sentiment_score, comment_count]""
      - ""no_null_values: [theme]""

  feedback_visualization_chart:
    agent: VisualizationAgent
    description: ""Create a visualization of feedback themes and sentiments""
    type: image
    inputs: [feedback_summary_table]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 1280, height: 720]""","['MleAgent', 'VisualizationAgent', 'AnswererAgent', 'UserInputAgent']",4,4,simple_chain,True,
"""Gather user feedback from our online survey, analyze the responses for common themes, and generate a summary report that includes visualizations of the key insights.""","assets:
  user_feedback_data:
    agent: UserInputAgent
    description: ""Gather user feedback from online survey""
    type: text
    checks:
      - ""no_empty_values: [feedback]""
      - ""feedback_length >= 10""

  common_themes_data:
    agent: NumericalSequencesAgent
    description: ""Analyze feedback responses for common themes""
    type: table
    inputs: [user_feedback_data]
    checks:
      - ""row_count > 0""
      - ""columns: [theme, frequency]""
      - ""frequency >= 1""

  insights_summary_report:
    agent: AnswererAgent
    description: ""Generate a summary report of insights from feedback""
    type: table
    inputs: [common_themes_data]
    checks:
      - ""row_count > 0""
      - ""columns: [theme, summary]""
      - ""no_empty_values: [theme, summary]""

  insights_visualization:
    agent: VisualizationAgent
    description: ""Create visual representation of key insights""
    type: image
    inputs: [insights_summary_report]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 800, height: 600]""","['NumericalSequencesAgent', 'VisualizationAgent', 'AnswererAgent', 'UserInputAgent']",4,4,simple_chain,True,
"""Gather user feedback from our online survey, analyze the comments for common themes, and produce a visual report highlighting key insights.""","assets:
  user_feedback:
    agent: UserInputAgent
    description: ""Gather user feedback from online survey""
    type: text
    checks:
      - ""no_empty_values: [feedback_text]""

  extracted_feedback:
    agent: DocumentRetrieverAgent
    description: ""Extract relevant comments from user feedback""
    type: text
    inputs: [user_feedback]
    checks:
      - ""no_empty_values: [extracted_comments]""

  analyzed_feedback:
    agent: NumericalSequencesAgent
    description: ""Analyze comments for common themes and patterns""
    type: table
    inputs: [extracted_feedback]
    checks:
      - ""row_count > 0""
      - ""columns: [theme, frequency]""
      - ""no_null_values: [theme]""

  feedback_insights_chart:
    agent: VisualizationAgent
    description: ""Create visual report highlighting key insights from feedback""
    type: image
    inputs: [analyzed_feedback]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 800, height: 600]""","['NumericalSequencesAgent', 'DocumentRetrieverAgent', 'VisualizationAgent', 'UserInputAgent']",4,4,simple_chain,True,
"""Pull recent customer reviews from our website, analyze the sentiments expressed in those reviews, and generate a report with visualizations highlighting trends over the last month.""","assets:
  recent_customer_reviews:
    agent: UrlRetrieverAgent
    description: ""Fetch recent customer reviews from the company website""
    type: text
    checks:
      - ""non_empty: true""

  analyzed_sentiments:
    agent: MleAgent
    description: ""Analyze sentiments from customer reviews to identify trends""
    type: model
    inputs: [recent_customer_reviews]
    checks:
      - ""accuracy > 0.80""
      - ""required_features: [review_text, sentiment_score]""

  sentiment_trends_report:
    agent: AnswererAgent
    description: ""Generate a comprehensive report on sentiment trends from reviews""
    type: table
    inputs: [analyzed_sentiments]
    checks:
      - ""row_count > 0""
      - ""columns: [date, positive_sentiment, negative_sentiment]""

  sentiment_trends_chart:
    agent: VisualizationAgent
    description: ""Create a visual representation of sentiment trends over the last month""
    type: image
    inputs: [sentiment_trends_report]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 800, height: 600]""","['MleAgent', 'UrlRetrieverAgent', 'VisualizationAgent', 'AnswererAgent']",4,4,simple_chain,True,
"""Retrieve the latest articles on climate change from the web, extract key insights and statistics, and summarize the findings in a structured table for our research team.""","assets:
  latest_climate_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Retrieve the latest articles on climate change from DuckDuckGo""
    type: table
    checks:
      - ""row_count > 0""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  extracted_insights:
    agent: NumericalSequencesAgent
    description: ""Extract key insights and statistics from the latest climate articles""
    type: table
    inputs: [latest_climate_articles]
    checks:
      - ""row_count > 0""
      - ""columns: [insight, statistic]""
      - ""no_empty_values: [insight, statistic]""

  summarized_findings:
    agent: AnswererAgent
    description: ""Summarize the findings in a structured table for the research team""
    type: table
    inputs: [extracted_insights]
    checks:
      - ""row_count >= 1""
      - ""columns: [summary, detail]""
      - ""no_empty_values: [summary]""","['DuckDuckGoSearchAgent', 'NumericalSequencesAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Gather recent customer feedback from various online sources, extract key insights from the data, and generate a detailed report that includes visualizations of customer sentiment trends.""","assets:
  recent_customer_feedback:
    agent: DuckDuckGoSearchAgent
    description: ""Extract recent customer feedback from DuckDuckGo search results""
    type: table
    checks:
      - ""row_count > 0""
      - ""columns: [feedback_id, customer_name, feedback_text, timestamp]""
      - ""no_null_values: [feedback_id, customer_name, feedback_text]""

  extracted_insights:
    agent: NumericalSequencesAgent
    description: ""Transform raw feedback into structured insights for analysis""
    type: table
    inputs: [recent_customer_feedback]
    checks:
      - ""row_count >= recent_customer_feedback.row_count * 0.8""
      - ""columns: [sentiment_score, key_insight, feedback_id]""
      - ""sentiment_score between -1 and 1""

  sentiment_trend_visualization:
    agent: VisualizationAgent
    description: ""Generate visualization of customer sentiment trends over time""
    type: image
    inputs: [extracted_insights]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 1920, height: 1080]""
      - ""format: png""","['DuckDuckGoSearchAgent', 'VisualizationAgent', 'NumericalSequencesAgent']",3,3,simple_chain,True,
"""Gather customer feedback from our recent product launch, analyze the sentiment across different platforms, and generate a structured report with visual insights highlighting key trends and areas for improvement.""","assets:
  customer_feedback_data:
    agent: UserInputAgent
    description: ""Gather customer feedback from recent product launch""
    type: text
    checks:
      - ""no_empty_values: [feedback]""
  
  extracted_sentiment_data:
    agent: DocumentRetrieverAgent
    description: ""Extract relevant sentiment data from feedback documents""
    type: text
    inputs: [customer_feedback_data]
    checks:
      - ""no_empty_values: [sentiment_score]""
  
  sentiment_analysis_report:
    agent: AnswererAgent
    description: ""Generate structured sentiment analysis report from extracted data""
    type: table
    inputs: [extracted_sentiment_data]
    checks:
      - ""row_count > 0""
      - ""columns: [platform, sentiment_score, feedback_summary]""
      - ""sentiment_score between -1 and 1""

  sentiment_trends_visualization:
    agent: VisualizationAgent
    description: ""Create visual insights highlighting key trends in sentiment analysis""
    type: image
    inputs: [sentiment_analysis_report]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [1920, 1080]""","['VisualizationAgent', 'DocumentRetrieverAgent', 'AnswererAgent', 'UserInputAgent']",4,4,simple_chain,True,
"""Gather recent articles on climate change from both DuckDuckGo and Brave search engines, synthesize the key points into a structured table, and then create a visual summary showcasing the trends identified in the articles.""","assets:
  duckduckgo_climate_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract recent articles on climate change from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  brave_climate_articles:
    agent: BraveSearchAgent
    description: ""Extract recent articles on climate change from Brave""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  synthesized_climate_articles:
    agent: UrlRetrieverAgent
    description: ""Combine and synthesize key points from climate articles""
    type: table
    inputs: [duckduckgo_climate_articles, brave_climate_articles]
    checks:
      - ""row_count >= 5""
      - ""columns: [source, key_points, url]""
      - ""no_empty_values: [key_points]""

  climate_trends_visualization:
    agent: VisualizationAgent
    description: ""Create visual summary showcasing trends identified in climate articles""
    type: image
    inputs: [synthesized_climate_articles]
    checks:
      - ""file_size < 5MB""
      - ""format: png""
      - ""dimensions: [width >= 800, height >= 600]""","['DuckDuckGoSearchAgent', 'UrlRetrieverAgent', 'VisualizationAgent', 'BraveSearchAgent']",4,4,simple_chain,True,
"""Gather recent articles on climate change from the web, summarize their key points into a structured table, and then create a visual infographic to present these insights.""","assets:
  climate_change_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract recent articles on climate change from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  summarized_climate_articles:
    agent: AnswererAgent
    description: ""Summarize key points from climate change articles into a structured format""
    type: table
    inputs: [climate_change_articles]
    checks:
      - ""row_count >= 5""
      - ""columns: [title, summary, url]""
      - ""no_empty_values: [summary]""

  climate_insights_infographic:
    agent: VisualizationAgent
    description: ""Create a visual infographic to present insights from summarized climate articles""
    type: image
    inputs: [summarized_climate_articles]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 800, height: 600]""","['DuckDuckGoSearchAgent', 'VisualizationAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Search for the latest news articles on climate change, extract the key points from the top three articles, and compile a summary table highlighting the main findings.""","assets:
  latest_climate_change_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract the latest news articles on climate change from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 3""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  key_points_extracted:
    agent: DocumentRetrieverAgent
    description: ""Extract key points from the top three climate change articles""
    type: text
    inputs: [latest_climate_change_articles]
    checks:
      - ""no_empty_values: [text_content]""
      - ""length >= 50""

  climate_change_summary_table:
    agent: AnswererAgent
    description: ""Compile a summary table highlighting the main findings from key points""
    type: table
    inputs: [key_points_extracted]
    checks:
      - ""row_count > 0""
      - ""columns: [summary_point, article_reference]""
      - ""no_empty_values: [summary_point, article_reference]""","['DuckDuckGoSearchAgent', 'DocumentRetrieverAgent', 'AnswererAgent']",3,3,simple_chain,True,
"""Gather user feedback from our website, analyze the sentiment of the responses, and create a summary report with key insights and visualizations for the marketing team.""","assets:
  user_feedback:
    agent: UserInputAgent
    description: ""Gather user feedback from the website""
    type: text
    checks:
      - ""no_empty_values: [feedback_text]""
      - ""length > 0""

  analyzed_sentiment:
    agent: MleAgent
    description: ""Analyze sentiment from user feedback responses""
    type: model
    inputs: [user_feedback]
    checks:
      - ""accuracy > 0.75""
      - ""required_features: [feedback_text]""

  feedback_summary_report:
    agent: AnswererAgent
    description: ""Create a summary report with key insights from analyzed sentiment""
    type: table
    inputs: [user_feedback, analyzed_sentiment]
    checks:
      - ""row_count > 0""
      - ""columns: [insight, sentiment_score]""
      - ""no_null_values: [insight, sentiment_score]""

  sentiment_visualization:
    agent: VisualizationAgent
    description: ""Generate a visualization of the sentiment analysis results""
    type: image
    inputs: [feedback_summary_report]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [800, 600]""","['MleAgent', 'VisualizationAgent', 'AnswererAgent', 'UserInputAgent']",4,4,simple_chain,True,
